eventID,Cell Type,Center.x,Center.y,Radius,Slice,Frame,Size,Dilation,Orientation,Series
262,Mother,426.195,343.035,48.51,5,31,114.345,1,0,0
264,Mother,429.66,180.18,48.51,5,31,114.345,1,0,0
265,Mother,429.66,322.245,48.51,5,31,114.345,1,0,0
270,Mother,440.055,304.92,48.51,5,31,114.345,1,0,0
271,Mother,443.52,287.595,48.51,5,31,114.345,1,0,0
273,Mother,446.985,38.115,48.51,5,31,114.345,1,0,0
274,Mother,446.985,169.785,48.51,5,31,114.345,1,0,0
286,Mother,460.845,183.645,48.51,5,31,114.345,1,0,0
287,Mother,464.31,27.72,48.51,5,31,114.345,1,0,0
288,Mother,464.31,145.53,48.51,5,31,114.345,1,0,0
290,Mother,464.31,280.665,48.51,5,31,114.345,1,0,0
297,Mother,474.705,162.855,48.51,5,31,114.345,1,0,0
301,Mother,478.17,135.135,48.51,5,31,114.345,1,0,0
302,Mother,478.17,256.41,48.51,5,31,114.345,1,0,0
303,Mother,478.17,291.06,48.51,5,31,114.345,1,0,0
304,Mother,478.17,325.71,48.51,5,31,114.345,1,0,0
307,Mother,481.635,180.18,48.51,5,31,114.345,1,0,0
309,Mother,485.1,200.97,48.51,5,31,114.345,1,0,0
311,Mother,488.565,148.995,48.51,5,31,114.345,1,0,0
318,Mother,492.03,304.92,48.51,5,31,114.345,1,0,0
319,Mother,495.495,114.345,48.51,5,31,114.345,1,0,0
327,Mother,498.96,169.785,48.51,5,31,114.345,1,0,0
329,Mother,498.96,190.575,48.51,5,31,114.345,1,0,0
336,Mother,505.89,152.46,48.51,5,31,114.345,1,0,0
341,Mother,509.355,131.67,48.51,5,31,114.345,1,0,0
345,Mother,512.82,110.88,48.51,5,31,114.345,1,0,0
350,Mother,512.82,239.085,48.51,5,31,114.345,1,0,0
351,Mother,512.82,284.13,48.51,5,31,114.345,1,0,0
355,Mother,516.285,169.785,48.51,5,31,114.345,1,0,0
362,Mother,523.215,142.065,48.51,5,31,114.345,1,0,0
367,Mother,530.145,124.74,48.51,5,31,114.345,1,0,0
368,Mother,530.145,159.39,48.51,5,31,114.345,1,0,0
369,Mother,533.61,183.645,48.51,5,31,114.345,1,0,0
371,Mother,537.075,97.02,48.51,5,31,114.345,1,0,0
374,Mother,537.075,246.015,48.51,5,31,114.345,1,0,0
378,Mother,547.47,145.53,48.51,5,31,114.345,1,0,0
381,Mother,547.47,166.32,48.51,5,31,114.345,1,0,0
383,Mother,547.47,194.04,48.51,5,31,114.345,1,0,0
384,Mother,550.935,121.275,48.51,5,31,114.345,1,0,0
385,Mother,550.935,259.875,48.51,5,31,114.345,1,0,0
392,Mother,554.4,277.2,48.51,5,31,114.345,1,0,0
396,Mother,561.33,107.415,48.51,5,31,114.345,1,0,0
397,Mother,561.33,135.135,48.51,5,31,114.345,1,0,0
398,Mother,561.33,225.225,48.51,5,31,114.345,1,0,0
399,Mother,564.795,72.765,48.51,5,31,114.345,1,0,0
402,Mother,564.795,155.925,48.51,5,31,114.345,1,0,0
408,Mother,571.725,173.25,48.51,5,31,114.345,1,0,0
409,Mother,571.725,190.575,48.51,5,31,114.345,1,0,0
410,Mother,575.19,86.625,48.51,5,31,114.345,1,0,0
411,Mother,578.655,27.72,48.51,5,31,114.345,1,0,0
413,Mother,578.655,135.135,48.51,5,31,114.345,1,0,0
417,Mother,582.12,110.88,48.51,5,31,114.345,1,0,0
423,Mother,585.585,155.925,48.51,5,31,114.345,1,0,0
425,Mother,589.05,13.86,48.51,5,31,114.345,1,0,0
428,Mother,592.515,76.23,48.51,5,31,114.345,1,0,0
433,Mother,592.515,187.11,48.51,5,31,114.345,1,0,0
435,Mother,595.98,97.02,48.51,5,31,114.345,1,0,0
436,Mother,595.98,142.065,48.51,5,31,114.345,1,0,0
441,Mother,599.445,249.48,48.51,5,31,114.345,1,0,0
444,Mother,602.91,24.255,48.51,5,31,114.345,1,0,0
445,Mother,602.91,48.51,48.51,5,31,114.345,1,0,0
450,Mother,602.91,166.32,48.51,5,31,114.345,1,0,0
451,Mother,606.375,0,48.51,5,31,114.345,1,0,0
461,Mother,606.375,228.69,48.51,5,31,114.345,1,0,0
466,Mother,609.84,131.67,48.51,5,31,114.345,1,0,0
472,Mother,613.305,103.95,48.51,5,31,114.345,1,0,0
487,Mother,620.235,173.25,48.51,5,31,114.345,1,0,0
488,Mother,623.7,27.72,48.51,5,31,114.345,1,0,0
491,Mother,627.165,45.045,48.51,5,31,114.345,1,0,0
492,Mother,627.165,69.3,48.51,5,31,114.345,1,0,0
495,Mother,627.165,221.76,48.51,5,31,114.345,1,0,0
496,Mother,630.63,-3.465,48.51,5,31,114.345,1,0,0
498,Mother,630.63,152.46,48.51,5,31,114.345,1,0,0
503,Mother,630.63,263.34,48.51,5,31,114.345,1,0,0
508,Mother,634.095,128.205,48.51,5,31,114.345,1,0,0
514,Mother,637.56,97.02,48.51,5,31,114.345,1,0,0
518,Mother,644.49,252.945,48.51,5,31,114.345,1,0,0
519,Mother,647.955,-3.465,48.51,5,31,114.345,1,0,0
520,Mother,647.955,65.835,48.51,5,31,114.345,1,0,0
522,Mother,647.955,159.39,48.51,5,31,114.345,1,0,0
523,Mother,647.955,232.155,48.51,5,31,114.345,1,0,0
528,Mother,654.885,13.86,48.51,5,31,114.345,1,0,0
529,Mother,654.885,48.51,48.51,5,31,114.345,1,0,0
530,Mother,654.885,90.09,48.51,5,31,114.345,1,0,0
535,Mother,661.815,145.53,48.51,5,31,114.345,1,0,0
542,Mother,668.745,31.185,48.51,5,31,114.345,1,0,0
544,Mother,668.745,69.3,48.51,5,31,114.345,1,0,0
547,Mother,672.21,86.625,48.51,5,31,114.345,1,0,0
548,Mother,672.21,117.81,48.51,5,31,114.345,1,0,0
549,Mother,672.21,159.39,48.51,5,31,114.345,1,0,0
554,Mother,675.675,190.575,48.51,5,31,114.345,1,0,0
555,Mother,679.14,6.93,48.51,5,31,114.345,1,0,0
559,Mother,682.605,51.975,48.51,5,31,114.345,1,0,0
562,Mother,686.07,76.23,48.51,5,31,114.345,1,0,0
563,Mother,686.07,103.95,48.51,5,31,114.345,1,0,0
565,Mother,686.07,135.135,48.51,5,31,114.345,1,0,0
568,Mother,689.535,162.855,48.51,5,31,114.345,1,0,0
848,Mother,460.845,322.245,48.51,5,31,124.74,1,0,0
1222,Mother,297.99,401.94,48.51,5,31,135.135,1,0,0
1707,Mother,232.155,228.69,48.51,5,31,145.53,1,0,0
1733,Mother,259.875,349.965,48.51,5,31,145.53,1,0,0
1765,Mother,284.13,391.545,48.51,5,31,145.53,1,0,0
1803,Mother,315.315,259.875,48.51,5,31,145.53,1,0,0
1808,Mother,322.245,370.755,48.51,5,31,145.53,1,0,0
1831,Mother,336.105,263.34,48.51,5,31,145.53,1,0,0
1852,Mother,349.965,315.315,48.51,5,31,145.53,1,0,0
1871,Mother,360.36,148.995,48.51,5,31,145.53,1,0,0
1872,Mother,360.36,190.575,48.51,5,31,145.53,1,0,0
1939,Mother,405.405,308.385,48.51,5,31,145.53,1,0,0
1942,Mother,408.87,218.295,48.51,5,31,145.53,1,0,0
1947,Mother,412.335,246.015,48.51,5,31,145.53,1,0,0
1968,Mother,436.59,97.02,48.51,5,31,145.53,1,0,0
1973,Mother,443.52,79.695,48.51,5,31,145.53,1,0,0
1976,Mother,450.45,17.325,48.51,5,31,145.53,1,0,0
2024,Mother,498.96,252.945,48.51,5,31,145.53,1,0,0
2033,Mother,509.355,266.805,48.51,5,31,145.53,1,0,0
2035,Mother,509.355,301.455,48.51,5,31,145.53,1,0,0
2043,Mother,516.285,194.04,48.51,5,31,145.53,1,0,0
2072,Mother,537.075,280.665,48.51,5,31,145.53,1,0,0
2130,Mother,599.445,117.81,48.51,5,31,145.53,1,0,0
2159,Mother,620.235,239.085,48.51,5,31,145.53,1,0,0
2219,Mother,686.07,31.185,48.51,5,31,145.53,1,0,0
3351,Mother,277.2,159.39,48.51,5,31,176.715,1,0,0
3392,Mother,315.315,408.87,48.51,5,31,176.715,1,0,0
3404,Mother,329.175,297.99,48.51,5,31,176.715,1,0,0
3434,Mother,353.43,374.22,48.51,5,31,176.715,1,0,0
3435,Mother,353.43,391.545,48.51,5,31,176.715,1,0,0
3440,Mother,356.895,297.99,48.51,5,31,176.715,1,0,0
3469,Mother,374.22,211.365,48.51,5,31,176.715,1,0,0
3500,Mother,391.545,100.485,48.51,5,31,176.715,1,0,0
3536,Mother,419.265,58.905,48.51,5,31,176.715,1,0,0
3538,Mother,422.73,304.92,48.51,5,31,176.715,1,0,0
3547,Mother,440.055,152.46,48.51,5,31,176.715,1,0,0
3559,Mother,453.915,200.97,48.51,5,31,176.715,1,0,0
3565,Mother,457.38,304.92,48.51,5,31,176.715,1,0,0
3587,Mother,481.635,273.735,48.51,5,31,176.715,1,0,0
3676,Mother,557.865,90.09,48.51,5,31,176.715,1,0,0
3732,Mother,613.305,266.805,48.51,5,31,176.715,1,0,0
3774,Mother,644.49,31.185,48.51,5,31,176.715,1,0,0
3796,Mother,665.28,-3.465,48.51,5,31,176.715,1,0,0
3948,Mother,353.43,107.415,48.51,5,31,187.11,1,0,0
4882,Mother,259.875,294.525,48.51,5,31,207.9,1,0,0
5000,Mother,346.5,159.39,48.51,5,31,207.9,1,0,0
5082,Mother,398.475,370.755,48.51,5,31,207.9,1,0,0
5122,Mother,446.985,336.105,48.51,5,31,207.9,1,0,0
6462,Mother,258.389,314.494,48.51,5,31,114.345,1,10,0
6516,Mother,304.151,294.415,48.51,5,31,114.345,1,10,0
6521,Mother,329.628,189.836,48.51,5,31,114.345,1,10,0
7635,Mother,331.021,102.12,48.51,5,31,135.135,1,10,0
8595,Mother,640.746,181.362,48.51,5,31,145.53,1,10,0
9734,Mother,269.013,214.332,48.51,5,31,176.715,1,10,0
9818,Mother,347.678,87.4648,48.51,5,31,176.715,1,10,0
11244,Mother,270.843,383.54,48.51,5,31,207.9,1,10,0
12645,Mother,233.712,269.557,48.51,5,31,114.345,1,20,0
13061,Mother,614.764,83.7597,48.51,5,31,114.345,1,20,0
13100,Mother,646.725,117.517,48.51,5,31,114.345,1,20,0
13133,Mother,658.253,177.023,48.51,5,31,114.345,1,20,0
17146,Mother,275.454,266.313,48.51,5,31,207.9,1,20,0
20126,Mother,660.165,194.762,48.51,5,31,135.135,1,30,0
21547,Mother,662.237,211.963,48.51,5,31,166.32,1,30,0
21789,Mother,316.335,388.353,48.51,5,31,176.715,1,30,0
24963,Mother,498.349,238.315,48.51,5,31,114.345,1,40,0
25036,Mother,653.981,133.698,48.51,5,31,114.345,1,40,0
32838,Mother,308.269,120.362,48.51,5,31,176.715,1,50,0
32997,Mother,359.68,235.536,48.51,5,31,176.715,1,50,0
34247,Mother,209.907,288.839,48.51,5,31,207.9,1,50,0
35728,Mother,404.194,200.415,48.51,5,31,114.345,1,60,0
51252,Mother,232.878,367.657,48.51,5,31,207.9,1,80,0
52497,Mother,471.24,211.365,48.51,5,31,114.345,1,90,0
76181,Mother,325.586,337.68,48.51,5,31,207.9,1,120,0
79317,Mother,236.726,199.717,48.51,5,31,145.53,1,130,0
81944,Mother,614.226,213.42,48.51,5,31,207.9,1,130,0
83698,Mother,310.161,154.96,48.51,5,31,114.345,1,140,0
92552,Mother,218.237,231.757,48.51,5,31,166.32,1,150,0
100324,Mother,374.859,67.9824,48.51,5,31,207.9,1,160,0
